ip,duration,hostname,model,firmware,sysname_compliant,sysname_details,tacacs_compliant,tacacs_details,snmp_v3_check_compliant,snmp_v3_check_details,snmp_trap_check_compliant,snmp_trap_check_details
10.218.142.135,69.6,ARG_PRS_CR1,5510 48G 4SFP+ HI JH146A,"7.1.045, Release 1118P02",False,Hostname 'ARG_PRS_CR1' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.254,70.8,C10P10BVF7F,5510 24G 4SFP+ HI JH145A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVF7F' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.225.137,71.1,R54LBLATX01-X02,S5735-L48T4S-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R54LBLATX01-X02' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.220.84.50,71.2,R34CXBATAWV-AWW,5130-24G-SFP-4SFP+ EI JG933A,"7.1.045, Release 3109P07",True,Hostname 'R34CXBATAWV-AWW' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.143.61,71.7,R34TRAEM017-018,S5735-L48P4X-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R34TRAEM017-018' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.19.4.12,73.6,R20SDEATAED,5130-48G-4SFP+ EI JG934A,"7.1.045, Release 3109P07",True,Hostname 'R20SDEATAED' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.20.132,73.7,R20DRNCE299,5130-48G-4SFP+ EI JG934A,"7.1.045, Release 3109P07",True,Hostname 'R20DRNCE299' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.73.160,81.8,R59NIMEN733,R59NIMEN733,,True,Hostname 'R59NIMEN733' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.250,59.0,C10P10BVH2P,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVH2P' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.119.5,52.8,R24TGRATAGE,S6730-H24X6C,5.170 (S6730 V200R019C00SPC500),True,Hostname 'R24TGRATAGE' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.30.254,66.4,C10P10BVF7F,5510 24G 4SFP+ HI JH145A,"7.1.045, Release 1118P02",False,Hostname 'C10P10BVF7F' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.144.208,53.7,R24TGRCT061,S6730-H24X6C,5.170 (S6730 V200R019C00SPC500),True,Hostname 'R24TGRCT061' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.134.145,54.1,R46SKXTUX01,S5735-S24T4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R46SKXTUX01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.36.190,55.1,NETW000065993,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'NETW000065993' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Wrong SNMP PDU digest,False,Trap vers 10.105.30.166 manquant.
10.217.157.68,53.7,R54VSXAT017-018-019-020,5510 48G 4SFP+ HI JH146A,"7.1.070, Release 3507P06",True,Hostname 'R54VSXAT017-018-019-020' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.134.151,55.8,R46SKXTUX00,S5735-S24T4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R46SKXTUX00' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.36.20,55.4,SKW_Coeur,S6730-H24X6C,5.170 (S6730 V200R021C00SPC100),False,Hostname 'SKW_Coeur' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.36.20,55.5,PXG_COEUR,HP 7506,"5.20.105, Feature 6705L01-US",False,Hostname 'PXG_COEUR' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.62.6,60.0,N/A,Discovery Failed (device_info_dict is None or not a dict),N/A,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed,False,Not run or discovery failed
10.217.157.31,55.3,R14RMYATAC1,5510 24G 4SFP+ HI JH145A,"7.1.070, Release 3507P06",True,Hostname 'R14RMYATAC1' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.157.32,55.3,R14RMYATAC2,5510 24G 4SFP+ HI JH145A,"7.1.070, Release 3507P06",True,Hostname 'R14RMYATAC2' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.189.140,58.6,R33SDRATX0D,S6730-H48X6C,5.170 (S6730 V200R021C00SPC100),True,Hostname 'R33SDRATX0D' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Wrong SNMP PDU digest,True,Configuration SNMP conforme.
10.217.165.6,55.5,R46ORLAS124,S5731-H24T4XC,5.170 (S5731 V200R021C00SPC100),True,Hostname 'R46ORLAS124' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.79.97.5,56.9,R61SDEMVA41,HP 10508,"5.20.105, Release 1208",True,Hostname 'R61SDEMVA41' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.217.151.132,57.2,R20GDBBM011,S6730-H48X6C,5.170 (S6730 V200R020C10SPC500),True,Hostname 'R20GDBBM011' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.66.120,61.0,R23HELATC8Z,5510 24G SFP 4SFP+ HI JH149A,"7.1.045, Release 1118P02",True,Hostname 'R23HELATC8Z' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.59.5,57.8,R61SDEMVCBB,HP 10504,"5.20.105, Release 1208P03",True,Hostname 'R61SDEMVCBB' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.79.83.5,58.2,R61SDEMVBV5,HP 10508,"5.20.105, Release 1208P03",True,Hostname 'R61SDEMVBV5' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.217.165.5,58.8,R46ORLAS123,S5731-H24T4XC,5.170 (S5731 V200R021C00SPC100),True,Hostname 'R46ORLAS123' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.217.71.4,61.7,R18BHMATBHH,5510 48G 4SFP+ HI JH146A,"7.1.045, Release 1118P02",True,Hostname 'R18BHMATBHH' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.7.254,64.3,R10P10MVX00-R10P10MVX01,HPE 7506 Switch Chassis JD239C,"7.1.070, Release 7585P06",True,Hostname 'R10P10MVX00-R10P10MVX01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.165.5,63.8,R46ORLAS123,S5731-H24T4XC,5.170 (S5731 V200R021C00SPC100),True,Hostname 'R46ORLAS123' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.217.64.3,65.9,NETWRAOUL0023,S5735-L24T4S-A,5.170 (S5735 V200R021C00SPC100),True,Hostname 'NETWRAOUL0023' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).
10.218.60.198,69.3,R46SKXATX02,S5735-S32ST4X,5.170 (S5735 V200R021C00SPC100),True,Hostname 'R46SKXATX02' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,True,Configuration SNMP conforme.
10.219.40.56,134.0,R14EPRUP073,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R14EPRUP073' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.146.86,134.4,R14CMZCT059,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R14CMZCT059' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.10.150,134.8,R58M12EM691,S5500-28F-EI-AC,"5.20, Release 2215",True,Hostname 'R58M12EM691' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.12.132.7,134.9,R20PEBBV125,LSQM1SRP2XB0,"5.20, Release 6710P03",True,Hostname 'R20PEBBV125' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.216.23.18,135.0,R37NBLBVA46,A5500-24G EI JD377A,"5.20, Release 2215",True,Hostname 'R37NBLBVA46' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.218.132.142,135.7,A5500-COEUR-DOT-GEVREY,A5500-48G EI JD375A,"5.20, Release 2215",False,Hostname 'A5500-COEUR-DOT-GEVREY' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.43.123,136.0,ET_SALLE_SET_coeur,LSQM1CGP24TSC0,"5.20, Release 6710P03",False,Hostname 'ET_SALLE_SET_coeur' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.32.10,136.3,R34VYSAT136-081-137,A5500-24G EI JD377A,"5.20, Release 2215",True,Hostname 'R34VYSAT136-081-137' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.19.7,136.4,R23LIXCT195,A5500-24G EI JD377A,"5.20, Release 2215",True,Hostname 'R23LIXCT195' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.14.216,136.7,R56CFGET053,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R56CFGET053' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.40.51,136.8,R14EPRUP074,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R14EPRUP074' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.141.94,136.9,R56NVRBI004,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R56NVRBI004' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.8.23,137.3,R37NBLEM448,S5500-28F-EI-AC,"5.20, Release 2215",True,Hostname 'R37NBLEM448' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.218.220.199,137.3,Coeur Télécom - 10.218.220.199,A5500-24G-SFP EI JD374A,"5.20, Release 2221P30",False,Hostname 'Coeur Télécom - 10.218.220.199' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.132.151,137.4,A5500-POSTEF-GEVREY,A5500-24G EI JD377A,"5.20, Release 2215",False,Hostname 'A5500-POSTEF-GEVREY' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.43.124,137.5,EMM_cell_info_coeur,LSQM1CGP24TSC0,"5.20, Release 6710P03",False,Hostname 'EMM_cell_info_coeur' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.39.10,138.1,CLI_OCT_CR01,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'CLI_OCT_CR01' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.26.14,138.4,R59BZBDO610,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R59BZBDO610' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.3.217,138.9,HED_BV_Federateur_2,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'HED_BV_Federateur_2' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.141.93,140.1,R56NVRBI005,A5500-24G-SFP EI JD374A,"5.20, Release 2202P15",True,Hostname 'R56NVRBI005' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.139.9,140.9,R17MZSDO812,A5500-24G-SFP EI JD374A,"5.20, Release 2215",True,Hostname 'R17MZSDO812' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.39.20,140.9,CLI_PLA_CR02,A5500-24G SI JD369A,"5.20, Release 2208P01",False,Hostname 'CLI_PLA_CR02' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.17.23,141.1,R23CLWAM192,A5500-24G SI JD369A,"5.20, Release 2208P01",True,Hostname 'R23CLWAM192' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.19.5,141.3,R23LIXCT172,A5500-24G SI JD369A,"5.20, Release 1208P03",True,Hostname 'R23LIXCT172' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.146.87,141.4,R14CMZBV296,A5500-24G-SFP EI JD374A,"5.20, Release 2202P15",True,Hostname 'R14CMZBV296' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.48.30,132.6,C50CLRENADC-D,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'C50CLRENADC-D' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.1.133,170.0,R20VTIDO247,Switch 7750,3.03.00s168r,True,Hostname 'R20VTIDO247' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.1.132,170.6,R20VTIDO246,Switch 7750,3.03.00s168r,True,Hostname 'R20VTIDO246' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.73.132,171.2,R20CIWBV274,Switch 7750,3.03.00s168r,True,Hostname 'R20CIWBV274' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.25.1,135.8,C54L07EN376-C54L07EN407,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'C54L07EN376-C54L07EN407' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.219.39.10,131.1,CLI_OCT_CR01,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'CLI_OCT_CR01' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.15.4,133.6,R37LMPCU059,S5500-28F-EI-AC,"5.20, Release 2215",True,Hostname 'R37LMPCU059' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,True,Configuration SNMP conforme.
10.219.39.20,137.8,CLI_PLA_CR02,A5500-24G SI JD369A,"5.20, Release 2208P01",False,Hostname 'CLI_PLA_CR02' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.36.74,133.8,PXG_SET_FED,A5500-24G-SFP EI JD374A,"5.20, Release 2215",False,Hostname 'PXG_SET_FED' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.151.11,138.3,C50MYDEP001,A5500-24G SI JD369A,"5.20, Release 2208P01",False,Hostname 'C50MYDEP001' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
